timestamp,min_dist_to_left_bnd,min_dist_to_right_bnd,heading_delta,speed,curvature_5,curvature_10,curvature_15,curvature_20,curvature_25,accel,steering_angle
826,-0.6922636150024815,2.5154999328991003,-0.009903369103160494,2.572988986968994,3.6338901054370547e-06,9.956351521616351e-07,7.882329326249196e-07,4.770711986579087e-07,4.2885892958627065e-07,0.3807033598423004,0.0
827,-0.693880997421326,2.5164460268899607,-0.010039191132932753,2.573272466659546,7.276852855479939e-07,9.956351521616351e-07,5.016907074660753e-07,4.770711986579087e-07,3.2799431405293833e-07,0.380385160446167,0.0
828,-0.6948881265647984,2.5181244444614173,-0.009903901795285013,2.573439598083496,3.6338901054370547e-06,9.956351521616351e-07,7.882329326249196e-07,4.770711986579087e-07,4.2885892958627065e-07,0.3800949454307556,0.0
829,-0.6965055063980969,2.5190705410378236,-0.010040254653222199,2.573467493057251,1.453273989757132e-05,9.948547995374753e-07,5.013558755808717e-07,4.766809998076492e-07,3.2781371749658826e-07,0.37979820370674133,0.0
830,-0.6975431557034213,2.52077947360004,-0.009904965887151822,2.573375940322876,7.259367344419607e-07,7.297945191591997e-06,5.013558755808717e-07,3.4969279115143515e-06,3.2781371749658826e-07,0.37951916456222534,0.0
831,-0.6990994977985618,2.5216645324382885,-0.010040788854217147,2.5731449127197266,3.6338901054370547e-06,9.956351521616351e-07,7.882329326249196e-07,4.770711986579087e-07,2.7237493792114977e-06,0.37924596667289734,0.0
832,-0.7001676672657382,2.523403985162357,-0.00990549857929768,2.5727951526641846,7.259367344419607e-07,9.948547995374753e-07,5.013558755808717e-07,4.766809998076492e-07,3.2781371749658826e-07,0.37900304794311523,0.0
833,-0.7017240119464248,2.5242890465861514,-0.01004185423710914,2.5723156929016113,3.6324791499083603e-06,9.948547995374753e-07,7.87806061710566e-07,4.766809998076492e-07,4.2858300972450016e-07,0.3787788152694702,0.0
834,-0.7027921762425091,2.526028494139128,-0.009906030340162257,2.571753978729248,7.276852855479939e-07,9.956351521616351e-07,5.016907074660753e-07,4.770711986579087e-07,3.2799431405293833e-07,0.378587931394577,0.0
835,-0.7043790410850477,2.5269440757247743,-0.010042385997266768,2.5710692405700684,3.6324791499083603e-06,9.948547995374753e-07,7.87806061710566e-07,4.766809998076492e-07,4.2858300972450016e-07,0.3783966898918152,0.0
836,-0.705416687804826,2.528653010872537,-0.009907096655706176,2.5703048706054688,1.4531340786512325e-05,9.956351521616351e-07,5.016907074660753e-07,4.770711986579087e-07,3.2799431405293833e-07,0.3782513439655304,0.0
837,-0.7070035500618186,2.529568584701545,-0.010042918688708113,2.569450855255127,7.276852855479939e-07,7.297289048184517e-06,5.016907074660753e-07,3.496626391539929e-06,3.2799431405293833e-07,0.37812089920043945,0.0
838,-0.7080106817908369,2.531247004858548,-0.009907629347828916,2.5685434341430664,3.6338901054370547e-06,9.956351521616351e-07,7.882329326249196e-07,4.770711986579087e-07,2.7237493792114977e-06,0.3780224919319153,0.0
839,-0.7096280642096815,2.532193098849408,-0.010043984071554695,2.567553758621216,7.259367344419607e-07,9.948547995374753e-07,5.013558755808717e-07,4.766809998076492e-07,3.2781371749658826e-07,0.37793394923210144,0.0
840,-0.7106657109294598,2.5339020339971707,-0.009908162039954285,2.566525459289551,3.6338901054370547e-06,9.956351521616351e-07,7.882329326249196e-07,4.770711986579087e-07,4.2885892958627065e-07,0.37789180874824524,0.0
